id,neighbourhood_group,latitude,longitude,room_type,price
60611,Manhattan,40.79163,-73.94573,Entire home/apt,125
60666,Manhattan,40.8118,-73.94434,Private room,92
60673,Manhattan,40.81583,-73.94707,Private room,175
60680,Manhattan,40.72654,-73.98049,Entire home/apt,99
60794,Manhattan,40.80021,-73.96071,Entire home/apt,195
60948,Manhattan,40.80942,-73.93936,Entire home/apt,140
61167,Manhattan,40.71961,-73.9954,Entire home/apt,135
61224,Manhattan,40.74358,-74.00027,Entire home/apt,500
61406,Manhattan,40.80335,-73.9575,Private room,80
61492,Manhattan,40.71445,-73.9908,Private room,120
61509,Manhattan,40.75749,-73.96897,Entire home/apt,110
62427,Manhattan,40.7268,-73.99079,Entire home/apt,130
62891,Manhattan,40.72477,-73.98161,Entire home/apt,175
62903,Manhattan,40.74238,-73.99567,Entire home/apt,205
63693,Manhattan,40.72185,-73.98246,Entire home/apt,390
63913,Manhattan,40.86648,-73.9263,Private room,75
64015,Manhattan,40.72807,-73.98594,Entire home/apt,200
64707,Manhattan,40.71702,-73.99811,Entire home/apt,90
64837,Manhattan,40.72321,-73.98157,Private room,68
65019,Manhattan,40.779560000000004,-73.98098,Entire home/apt,115
65562,Manhattan,40.72956,-73.98158,Entire home/apt,129
65813,Manhattan,40.82888,-73.94307,Private room,75
66251,Manhattan,40.72681,-73.98534,Entire home/apt,212
66275,Manhattan,40.71904,-73.99392,Private room,95
66718,Manhattan,40.81322,-73.95306,Entire home/apt,135
67288,Manhattan,40.79603,-73.94903,Entire home/apt,124
67397,Manhattan,40.80393,-73.95838,Private room,122
68099,Manhattan,40.80082,-73.9652,Private room,109
68305,Manhattan,40.82976,-73.94867,Private room,85
68735,Manhattan,40.78971,-73.9729,Entire home/apt,195
68974,Manhattan,40.71943,-73.99627,Entire home/apt,575
69894,Manhattan,40.78,-73.98249,Entire home/apt,150
70095,Manhattan,40.86713,-73.92811,Private room,90
70128,Manhattan,40.73198,-73.98881,Private room,65
70609,Manhattan,40.72542,-73.97986,Entire home/apt,500
71010,Manhattan,40.83494,-73.93869,Entire home/apt,250
71248,Manhattan,40.71659,-73.98945,Entire home/apt,125
71366,Manhattan,40.72966,-74.00243,Entire home/apt,200
72190,Manhattan,40.77728,-73.97818,Entire home/apt,110
74333,Manhattan,40.80892,-73.93985,Entire home/apt,113
74404,Manhattan,40.80276,-73.9567,Entire home/apt,250
75635,Manhattan,40.71876,-73.98394,Entire home/apt,150
77936,Manhattan,40.76248,-73.9913,Private room,150
80493,Manhattan,40.72329,-73.98486,Private room,71
82638,Manhattan,40.72399,-73.98374,Entire home/apt,169
83847,Manhattan,40.72451,-73.98094,Entire home/apt,225
84659,Manhattan,40.72843,-73.98895,Entire home/apt,139
84905,Manhattan,40.71271,-73.99776,Private room,95
86215,Manhattan,40.71965,-73.98766,Entire home/apt,150
98330,Manhattan,40.73877,-73.97707,Entire home/apt,125
98663,Manhattan,40.74893,-73.99544,Entire home/apt,130
99070,Manhattan,40.79406,-73.94102,Shared room,65
100002,Manhattan,40.85295,-73.93361,Private room,67
102995,Manhattan,40.78558,-73.9696,Entire home/apt,212
103806,Manhattan,40.72577,-73.98745,Entire home/apt,249
106363,Manhattan,40.82773,-73.95231,Private room,60
107895,Manhattan,40.77944,-73.98567,Entire home/apt,120
110739,Manhattan,40.74503,-73.98876,Entire home/apt,169
112304,Manhattan,40.8054,-73.95189,Private room,90
112359,Manhattan,40.78491,-73.9508,Entire home/apt,225
113945,Manhattan,40.75835,-73.99193,Private room,85
114229,Manhattan,40.71895,-73.99434,Entire home/apt,211
114969,Manhattan,40.75579,-73.96699,Entire home/apt,145
115535,Manhattan,40.82399,-73.95328,Private room,65
115678,Manhattan,40.81822,-73.94095,Entire home/apt,99
118430,Manhattan,40.74412,-74.00208,Private room,290
118680,Manhattan,40.73067,-73.98702,Private room,87
123784,Manhattan,40.80481,-73.94794,Entire home/apt,110
125053,Manhattan,40.72533,-73.99143,Entire home/apt,395
126443,Manhattan,40.72939,-73.98857,Entire home/apt,189
126816,Manhattan,40.79918,-73.96607,Private room,85
128975,Manhattan,40.81333,-73.94453,Entire home/apt,122
132570,Manhattan,40.73215,-74.00922,Entire home/apt,170
133025,Manhattan,40.7463,-73.97926,Private room,130
135706,Manhattan,40.74488,-74.001,Entire home/apt,132
140973,Manhattan,40.72274,-73.97581,Entire home/apt,185
141890,Manhattan,40.72255,-73.99346,Entire home/apt,375
141984,Manhattan,40.72094,-73.99706,Entire home/apt,175
142069,Manhattan,40.72485,-73.97813,Entire home/apt,150
144087,Manhattan,40.80473,-73.9532,Entire home/apt,259
144148,Manhattan,40.72217,-73.98419,Private room,96
145188,Manhattan,40.742490000000004,-74.00329,Entire home/apt,200
145994,Manhattan,40.79264,-73.97294,Entire home/apt,95
147586,Manhattan,40.80474,-73.94688,Entire home/apt,295
148201,Manhattan,40.72831,-74.00177,Entire home/apt,175
148825,Manhattan,40.79765,-73.96245,Entire home/apt,165
149287,Manhattan,40.78508,-73.95332,Entire home/apt,250
150804,Manhattan,40.72008,-73.98404,Entire home/apt,250
152078,Manhattan,40.72674,-73.9782,Private room,95
152259,Manhattan,40.81156,-73.94571,Private room,55
152263,Manhattan,40.80497,-73.95016,Entire home/apt,300
153780,Manhattan,40.72587,-73.98438,Private room,175
154934,Manhattan,40.82426,-73.9463,Private room,75
159913,Manhattan,40.74346,-73.99882,Private room,150
160609,Manhattan,40.77724,-73.98109,Entire home/apt,200
160994,Manhattan,40.72972,-73.97995,Entire home/apt,200
161996,Manhattan,40.83096,-73.94633,Entire home/apt,295
163809,Manhattan,40.80523,-73.95139,Entire home/apt,198
