id,neighbourhood_group,latitude,longitude,room_type,price
6939597,Bronx,40.80993,-73.92613,Entire home/apt,100
6965529,Bronx,40.85073,-73.9128,Private room,50
7087528,Bronx,40.87183,-73.90371,Private room,75
7342107,Bronx,40.82873,-73.89553,Entire home/apt,120
7501694,Bronx,40.81335,-73.8873,Private room,40
7502146,Bronx,40.81395,-73.88675,Private room,40
7561686,Bronx,40.82381,-73.92725,Entire home/apt,110
7686940,Bronx,40.82417,-73.90156,Private room,95
7692660,Bronx,40.81229,-73.88887,Private room,40
7734670,Bronx,40.81387,-73.88797,Private room,37
7771351,Bronx,40.84423,-73.83602,Private room,59
7791635,Bronx,40.88001,-73.8345,Private room,62
7791636,Bronx,40.88211,-73.83625,Shared room,45
7869876,Bronx,40.80247,-73.91435,Entire home/apt,90
7949480,Bronx,40.85205,-73.78868,Private room,107
8239650,Bronx,40.81476,-73.80001,Entire home/apt,325
8265482,Bronx,40.84328,-73.88173,Private room,79
8275331,Bronx,40.88301,-73.85452,Private room,65
8294259,Bronx,40.86789,-73.85999,Private room,63
8324941,Bronx,40.85362,-73.82949,Shared room,150
8365647,Bronx,40.88837,-73.90939,Private room,65
8386220,Bronx,40.83746,-73.92268,Private room,59
8402207,Bronx,40.829390000000004,-73.86514,Private room,28
8518051,Bronx,40.81773,-73.86164,Entire home/apt,100
8673141,Bronx,40.82424,-73.91316,Entire home/apt,225
8756017,Bronx,40.86711,-73.89525,Private room,65
8772654,Bronx,40.85311,-73.90861,Private room,33
8901538,Bronx,40.82226,-73.88906,Private room,60
8903147,Bronx,40.87709,-73.88228,Private room,38
8988451,Bronx,40.82705,-73.91337,Private room,95
9147025,Bronx,40.84487,-73.78954,Entire home/apt,110
9260415,Bronx,40.86617,-73.848,Private room,47
9312190,Bronx,40.81897,-73.92735,Entire home/apt,159
9334185,Bronx,40.87842,-73.9029,Private room,75
9367337,Bronx,40.83735,-73.85997,Entire home/apt,139
9394188,Bronx,40.8113,-73.92465,Private room,65
9412522,Bronx,40.879,-73.90062,Entire home/apt,189
9453245,Bronx,40.85487,-73.88711,Private room,70
9513511,Bronx,40.85753,-73.86605,Private room,85
9597258,Bronx,40.88165,-73.85625,Private room,34
9710538,Bronx,40.88422,-73.90886,Entire home/apt,85
9788114,Bronx,40.82023,-73.92844,Entire home/apt,87
9846114,Bronx,40.81192,-73.90949,Private room,64
10014783,Bronx,40.85292,-73.91683,Private room,51
10172621,Bronx,40.85592,-73.86743,Entire home/apt,80
10332161,Bronx,40.85598,-73.90052,Private room,35
10338696,Bronx,40.84721,-73.83222,Entire home/apt,37
10476556,Bronx,40.83953,-73.85717,Entire home/apt,88
10476782,Bronx,40.88808,-73.86017,Entire home/apt,85
10719039,Bronx,40.88777,-73.9059,Private room,70
10807838,Bronx,40.86553,-73.83993,Private room,35
10888320,Bronx,40.8506,-73.90231,Entire home/apt,109
10947986,Bronx,40.88214,-73.90847,Entire home/apt,99
11020169,Bronx,40.87223,-73.84335,Entire home/apt,95
11138823,Bronx,40.89694,-73.86055,Entire home/apt,90
11147993,Bronx,40.87556,-73.8584,Entire home/apt,85
11194693,Bronx,40.82345,-73.9033,Entire home/apt,89
11272222,Bronx,40.82731,-73.91632,Private room,100
11320482,Bronx,40.88599,-73.89868,Private room,45
11371535,Bronx,40.85324,-73.86506,Private room,40
11497938,Bronx,40.88058,-73.91812,Entire home/apt,79
11634797,Bronx,40.9008,-73.90639,Private room,49
11639297,Bronx,40.8787,-73.90098,Private room,35
11656750,Bronx,40.8183,-73.91938,Entire home/apt,150
11675715,Bronx,40.85139,-73.78414,Entire home/apt,95
11695338,Bronx,40.82442,-73.86193,Private room,45
11751916,Bronx,40.8199,-73.9281,Entire home/apt,110
11778761,Bronx,40.81778,-73.90858,Private room,60
11866301,Bronx,40.87925,-73.88254,Entire home/apt,80
11959854,Bronx,40.8522,-73.91014,Private room,26
12000603,Bronx,40.8883,-73.91665,Entire home/apt,150
12070965,Bronx,40.8098,-73.92149,Private room,500
12114017,Bronx,40.80903,-73.92143,Entire home/apt,125
12132772,Bronx,40.81928,-73.90933,Private room,60
12133746,Bronx,40.81725,-73.90929,Private room,55
12134113,Bronx,40.81911,-73.90939,Private room,60
12345615,Bronx,40.83648,-73.85812,Private room,59
12346131,Bronx,40.86323,-73.84638,Entire home/apt,450
12390529,Bronx,40.83703,-73.85648,Private room,75
12405814,Bronx,40.81384,-73.90514,Entire home/apt,85
12496118,Bronx,40.86947,-73.85993,Entire home/apt,104
12564287,Bronx,40.89118,-73.84987,Entire home/apt,99
12774885,Bronx,40.88871,-73.86175,Private room,40
12781270,Bronx,40.86412,-73.84664,Entire home/apt,75
12793649,Bronx,40.82575,-73.92421,Entire home/apt,175
12847902,Bronx,40.83211,-73.92052,Private room,49
12933540,Bronx,40.83049,-73.87354,Shared room,51
12955940,Bronx,40.85396,-73.89872,Private room,34
12988898,Bronx,40.86032,-73.88493,Shared room,130
13117282,Bronx,40.83458,-73.91021,Entire home/apt,57
13130744,Bronx,40.88493,-73.8618,Entire home/apt,67
13248565,Bronx,40.84268,-73.89294,Entire home/apt,68
13280099,Bronx,40.82909,-73.92249,Entire home/apt,95
13294137,Bronx,40.87938,-73.86349,Entire home/apt,500
13315967,Bronx,40.808840000000004,-73.9302,Entire home/apt,139
13326731,Bronx,40.80872,-73.93051,Private room,49
13327345,Bronx,40.80952,-73.93025,Private room,41
13335424,Bronx,40.84559,-73.89815,Private room,41
13348000,Bronx,40.83166,-73.81747,Entire home/apt,89
13359647,Bronx,40.85927,-73.90142,Private room,40
13415925,Bronx,40.83041,-73.91838,Entire home/apt,75
13417723,Bronx,40.8357,-73.91023,Entire home/apt,110
13430458,Bronx,40.80842,-73.93136,Private room,33
13431664,Bronx,40.81937,-73.90978,Private room,45
13436258,Bronx,40.81949,-73.92913,Entire home/apt,99
13480134,Bronx,40.82716,-73.89911,Private room,30
13507677,Bronx,40.82412,-73.90266,Entire home/apt,350
13508567,Bronx,40.86048,-73.91181,Entire home/apt,120
13530166,Bronx,40.82162,-73.92698,Private room,50
13669391,Bronx,40.89984,-73.86902,Entire home/apt,85
13688739,Bronx,40.85859,-73.89571,Entire home/apt,65
13698623,Bronx,40.82296,-73.91429,Private room,42
13720750,Bronx,40.8355,-73.83729,Entire home/apt,71
13766690,Bronx,40.82948,-73.92364,Private room,82
13864221,Bronx,40.86066,-73.85414,Private room,50
13864705,Bronx,40.8947,-73.85601,Private room,52
13920551,Bronx,40.83736,-73.92318,Private room,22
13961015,Bronx,40.86853,-73.88301,Entire home/apt,120
14042426,Bronx,40.88393,-73.90639,Private room,50
14139187,Bronx,40.82148,-73.89122,Private room,60
14231606,Bronx,40.84166,-73.86818,Entire home/apt,425
14255485,Bronx,40.84277,-73.92588,Entire home/apt,76
14301951,Bronx,40.81998,-73.90325,Private room,75
14340165,Bronx,40.81587,-73.81532,Entire home/apt,175
