id,neighbourhood_group,latitude,longitude,room_type,price
59642,Brooklyn,40.73401,-73.95967,Entire home/apt,135
62095,Brooklyn,40.64446,-73.9503,Entire home/apt,65
62430,Brooklyn,40.688,-73.9171,Entire home/apt,99
62925,Brooklyn,40.72945,-73.95511,Entire home/apt,285
63299,Brooklyn,40.70763,-73.95177,Private room,59
63546,Brooklyn,40.64106,-73.97426,Private room,39
63573,Brooklyn,40.66793,-73.98327,Private room,60
63657,Brooklyn,40.68236,-73.94314,Entire home/apt,135
63719,Brooklyn,40.68503,-73.95385,Private room,70
64000,Brooklyn,40.7069,-73.95467,Private room,60
64107,Brooklyn,40.6778,-73.94339,Private room,100
64277,Brooklyn,40.68317,-73.94701,Private room,70
64314,Brooklyn,40.6761,-73.9529,Private room,110
64365,Brooklyn,40.67586,-73.95155,Private room,60
65268,Brooklyn,40.68276,-73.95264,Private room,75
65556,Brooklyn,40.71368,-73.9626,Private room,60
65615,Brooklyn,40.71069,-73.95175,Entire home/apt,130
65660,Brooklyn,40.70863,-73.94641,Entire home/apt,95
65834,Brooklyn,40.67319,-73.97323,Entire home/apt,175
66008,Brooklyn,40.67846,-73.99443,Entire home/apt,190
66026,Brooklyn,40.6715,-73.94808,Private room,49
66451,Brooklyn,40.71031,-73.9583,Entire home/apt,140
66741,Brooklyn,40.67732,-73.98225,Entire home/apt,150
66974,Brooklyn,40.68076,-73.9896,Entire home/apt,190
67299,Brooklyn,40.71492,-73.96282,Entire home/apt,135
68403,Brooklyn,40.683,-73.91981,Entire home/apt,145
68765,Brooklyn,40.67817,-73.99495,Entire home/apt,250
68900,Brooklyn,40.73119,-73.95578,Private room,125
69921,Brooklyn,40.70514,-73.91922,Private room,70
71384,Brooklyn,40.72898,-73.95552,Entire home/apt,229
72265,Brooklyn,40.72646,-73.95341,Private room,59
74073,Brooklyn,40.71015,-73.96101,Entire home/apt,195
74240,Brooklyn,40.719030000000004,-73.9597,Entire home/apt,169
74860,Brooklyn,40.72488,-73.95018,Private room,55
75193,Brooklyn,40.71398,-73.95763,Private room,69
76761,Brooklyn,40.66552,-73.99019,Entire home/apt,169
77765,Brooklyn,40.73749,-73.95292,Private room,179
78919,Brooklyn,40.68674,-73.98876,Entire home/apt,135
79067,Brooklyn,40.6848,-73.96219,Entire home/apt,350
79782,Brooklyn,40.70516,-73.95455,Private room,120
80684,Brooklyn,40.73776,-73.95327,Private room,349
80700,Brooklyn,40.73738,-73.95482,Private room,349
80924,Brooklyn,40.67542,-73.98142,Entire home/apt,165
81739,Brooklyn,40.73842,-73.95312,Private room,249
82549,Brooklyn,40.6926,-73.99832,Private room,100
82550,Brooklyn,40.69441,-73.99771,Entire home/apt,200
82928,Brooklyn,40.6824,-73.94615,Entire home/apt,185
83243,Brooklyn,40.68949,-73.91708,Entire home/apt,65
83446,Brooklyn,40.68819,-73.97258,Entire home/apt,130
83722,Brooklyn,40.7205,-73.96015,Entire home/apt,199
84010,Brooklyn,40.73813,-73.95394,Private room,179
84059,Brooklyn,40.67591,-73.94715,Entire home/apt,150
85094,Brooklyn,40.66966,-73.94735,Entire home/apt,79
89427,Brooklyn,40.68613,-73.96536,Entire home/apt,650
89621,Brooklyn,40.68048,-73.94911,Entire home/apt,90
93313,Brooklyn,40.68314,-73.93963,Entire home/apt,120
94209,Brooklyn,40.67473,-73.94494,Entire home/apt,100
94477,Brooklyn,40.69305,-73.93185,Entire home/apt,175
94783,Brooklyn,40.67174,-73.95663,Entire home/apt,120
95747,Brooklyn,40.71055,-73.95098,Entire home/apt,140
95883,Brooklyn,40.69465,-73.95458,Entire home/apt,200
96471,Brooklyn,40.68413,-73.96542,Private room,165
99085,Brooklyn,40.68795,-73.97332,Entire home/apt,123
100186,Brooklyn,40.66918,-73.99187,Entire home/apt,130
101053,Brooklyn,40.71125,-73.95613,Private room,100
103161,Brooklyn,40.71577,-73.96053,Entire home/apt,190
103311,Brooklyn,40.73861,-73.95485,Private room,599
105510,Brooklyn,40.67086,-73.94872,Entire home/apt,100
106647,Brooklyn,40.68505,-73.95684,Entire home/apt,135
107630,Brooklyn,40.72911,-73.95493,Entire home/apt,175
112100,Brooklyn,40.67539,-73.96093,Entire home/apt,165
112435,Brooklyn,40.69088,-73.97307,Private room,95
113265,Brooklyn,40.67555,-73.95057,Private room,55
114123,Brooklyn,40.66527,-73.9886,Entire home/apt,199
116940,Brooklyn,40.67705,-73.94925,Entire home/apt,80
117425,Brooklyn,40.69263,-73.99438,Entire home/apt,150
118061,Brooklyn,40.68448,-73.92747,Entire home/apt,110
120362,Brooklyn,40.70665,-73.94061,Entire home/apt,190
121687,Brooklyn,40.72063,-73.95952,Entire home/apt,200
121861,Brooklyn,40.67644,-73.98082,Entire home/apt,165
125163,Brooklyn,40.68569,-73.93038,Private room,99
125594,Brooklyn,40.64302,-73.97255,Private room,39
127387,Brooklyn,40.66862,-73.9926,Entire home/apt,260
131154,Brooklyn,40.72473,-73.95199,Entire home/apt,165
132695,Brooklyn,40.71109,-73.94332,Entire home/apt,125
134934,Brooklyn,40.71823,-73.95849,Entire home/apt,225
135393,Brooklyn,40.651,-73.94886,Private room,50
135465,Brooklyn,40.68626,-73.97598,Entire home/apt,170
136493,Brooklyn,40.67632,-73.97616,Entire home/apt,250
138216,Brooklyn,40.72212,-73.94254,Entire home/apt,141
139624,Brooklyn,40.67456,-73.95151,Entire home/apt,64
140133,Brooklyn,40.71363,-73.96019,Entire home/apt,249
140425,Brooklyn,40.6755,-73.95878,Private room,79
141154,Brooklyn,40.6858,-73.9828,Entire home/apt,120
141335,Brooklyn,40.67535,-73.97654,Entire home/apt,495
145064,Brooklyn,40.71943,-73.9565,Entire home/apt,145
146754,Brooklyn,40.65749,-73.97675,Entire home/apt,250
148259,Brooklyn,40.71541,-73.94144,Entire home/apt,451
151478,Brooklyn,40.7102,-73.94495,Private room,98
152071,Brooklyn,40.67359,-73.97904,Entire home/apt,150
153405,Brooklyn,40.72937,-73.95671,Entire home/apt,125
155296,Brooklyn,40.71624,-73.96272,Entire home/apt,255
157673,Brooklyn,40.68101,-73.94081,Entire home/apt,72
158061,Brooklyn,40.68669,-73.91989,Private room,165
158176,Brooklyn,40.71534,-73.95914,Entire home/apt,165
158290,Brooklyn,40.68288,-73.96024,Private room,75
158913,Brooklyn,40.72489,-73.95494,Entire home/apt,130
158955,Brooklyn,40.70867,-73.94284,Entire home/apt,139
159749,Brooklyn,40.67963,-73.93908,Private room,88
159815,Brooklyn,40.6798,-73.93908,Private room,80
161394,Brooklyn,40.71309,-73.94128,Private room,90
162493,Brooklyn,40.71323,-73.95745,Entire home/apt,450
162508,Brooklyn,40.67212,-73.9506,Entire home/apt,130
163627,Brooklyn,40.71023,-73.96665,Private room,89
163836,Brooklyn,40.72185,-73.93956,Private room,46
165080,Brooklyn,40.6809,-73.99233,Entire home/apt,500
166172,Brooklyn,40.70283,-73.92131,Private room,60
166983,Brooklyn,40.68252,-73.99619,Entire home/apt,350
167017,Brooklyn,40.67853,-73.98089,Entire home/apt,219
167222,Brooklyn,40.6788,-73.97643,Private room,60
168123,Brooklyn,40.66085,-73.98537,Entire home/apt,105
169152,Brooklyn,40.68131,-73.95332,Entire home/apt,75
169464,Brooklyn,40.70667,-73.96524,Entire home/apt,85
169483,Brooklyn,40.60452,-73.97103,Entire home/apt,106
170761,Brooklyn,40.68768,-73.97611,Private room,85
173151,Brooklyn,40.72901,-73.95812,Private room,91
174527,Brooklyn,40.69055,-73.92357,Entire home/apt,150
176135,Brooklyn,40.67505,-73.95969,Entire home/apt,97
176962,Brooklyn,40.70925,-73.95425,Entire home/apt,179
177421,Brooklyn,40.72315,-73.95226,Entire home/apt,500
182649,Brooklyn,40.71312,-73.96199,Private room,70
185266,Brooklyn,40.71297,-73.94336,Private room,75
187566,Brooklyn,40.69242,-73.95097,Entire home/apt,99
188146,Brooklyn,40.7158,-73.95803,Entire home/apt,350
188661,Brooklyn,40.68262,-73.97299,Entire home/apt,170
189732,Brooklyn,40.67497,-73.87305,Entire home/apt,169
189787,Brooklyn,40.66788,-73.94813,Entire home/apt,99
190542,Brooklyn,40.68967,-73.95445,Entire home/apt,160
190968,Brooklyn,40.67946,-73.96501,Entire home/apt,215
190974,Brooklyn,40.66944,-73.98083,Entire home/apt,130
193333,Brooklyn,40.71943,-73.95958,Private room,65
195233,Brooklyn,40.65513,-73.95641,Private room,43
195240,Brooklyn,40.65589,-73.95539,Private room,42
195578,Brooklyn,40.70275,-73.94501,Private room,85
195971,Brooklyn,40.68897,-73.93569,Entire home/apt,139
195989,Brooklyn,40.67617,-73.98136,Private room,105
196010,Brooklyn,40.67595,-73.98053,Entire home/apt,265
197942,Brooklyn,40.68497,-73.95592,Entire home/apt,99
199312,Brooklyn,40.71137,-73.94362,Private room,100
201992,Brooklyn,40.6755,-73.97859,Entire home/apt,190
202273,Brooklyn,40.68812,-73.94934,Private room,67
204065,Brooklyn,40.68634,-73.96161,Entire home/apt,248
204833,Brooklyn,40.7093,-73.9497,Private room,100
205485,Brooklyn,40.68186,-73.94113,Entire home/apt,145
